uid;type;language;title;size;country;newspaper;issue;pages;nb_pages;relevance;year;is_on_front;date;persons_mentioned;locations_mentioned;content;access_right;content_provider;is_content_available;collections;[total:137,available:200]
EXP-1939-02-23-a-i0056;;fr;Nouvelles suisses;573;CH;EXP;EXP-1939-02-23-a;4;1;0.0;1939;False;1939-02-23T00:00:00Z;prince Humbert|nommé Louis Crestola|M. Gustave;Italie|Italie|Genève|Genève|Bludenz|Coire|Berlin;"Nouvelles suisses Pour le développement des communications entre Zermatt et Breuil Un téléférique va être inauguré ZERMATT, 22. — Le 4 mars aura lieu en présence du prince Humbert d'Italie l'ouverture solennelle du téléférique qui, partant de Breuil, au-dessus de Valtournanche, va jusqu'au plateau Rosa, de 2050 à 3500 m. d'altitude, à l'arête frontière entre le col Théodule et le Breithorn. Cette installation permettra d'ouvrir toute la région aux sports. Il s'agit de la première étape d'un projet tendant à relier Zermatt à Breuil. De la station de montagne du plateau de Rosa, un monte-pente est projeté sur le glacier du Théodule jusqu'à la cabane Gandegg et la dernière étape sera la liaison par un téléphérique entre la cabane de Gandegg et la station de Riffelberg du chemin de fer du Gornergrat. Il ne s'agit pas, comme on l'a dit par erreur (sans doute à cause du nom de « Cervino » que l'on a donné en Italie au téléférique Breuil-Plan Maison Belvédère-Cime che-Plateau Rosa) d'une ligne conduisant au Cervin, mais seulement du développement d'installations techniques sportives en vue du développement des communications entre Zermatt et Breuil. Un audacieux cambrioleur arrêté à Genève GENEVE, 21. — La police a arrêté le nommé Louis Crestola, 25 ans, Espagnol, arrivé à Genève il y a quelques jours. Cet individu avait commis dans la nuit de vendredi à samedi et samedi entre midi et 14 heures, une séné de huit cambriolages dans des magasins. Ces vols n'ont rapporté au malfaiteur que de petites sommes, à l'exception d'un seul au cours duquel il s'empara cîe 1500 fr. Au moment où les policiers entraient dans l'hôtel où logeait Crestola et demandaient ses papiers à l'individu, celui-ci brandit un revolver et profitant d'un instant d'hésitation des agents, il s'enfuit. Aussitôt, tous les postes de gendarmeries et de gardes-frontières furent allertés. Quand le cambrioleur se présenta en taxi à Moillesulaz ; il fut immédiatement arrêté, bien qu'il eût tenté, là encore, de menacer les douaniers de son arme. Interrogé par le commissaire de police, le jeune voleur a fait (Tes aveux. Un agriculteur tué par un cheval à Echallens ECHALLENS, 21. — M. Gustave _Chaillet, 56 ans, agriculteur marié et père de 3 enfants, a été traîné dans une écurie par un cheval détaché. Relevé avec de graves blessures, il a succombé. Les deux fonctionnaires allemands arrêtés dans le Praettigau seront relâchés BERNE, 21. — Le Conseil fédéral s'est occupé du cas de la violation de frontière par des fonctionnaires allemands des douanes qui s'est produit au Praettigau. Il a pris connaissance d'un rapport du ministère public de la Confédération sur cette affaire, rapport dans lequel il est établi que la frontière suisse a été franchie par des fonctionnaires des douanes allemands, qui ont exercé leurs fonctions officielles sur le territoire suisse en enlevant leurs papiers. de légitimation _aiix deux réfugiés. L'enquête a encore prouvé qu'il ne s'agissait pas de réfugiés politiques, mais d'un récidiviste qui purgeait une peine de prison à Bludenz pour un délit de droit commun et qui avait pu s'enfuir avec la collaboration d'une amie. Le Conseil fédéral, considérant que les deux fonctionnaires ont agi plutôt par excès de zèle que dans l'intention de violer la frontière, a décidé de lever la procédure engagée contre ceux-ci qui depuis 10 jours sont en état d'arrestation à Coire. En revanche des représentations diplomatiques seront faites à Berlin pour demander que soient restitués les objets enlevés aux deux réfugiés. ";OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1954-04-14-a-i0249;;fr;Le pilote Geiger a sauvé une Autrichienne blessée au Breithorn de Zerm[...];144;CH;EXP;EXP-1954-04-14-a;11;1;0.0;1954;False;1954-04-14T00:00:00Z;M. Hermann Geiger|M. Hermann Geiger;ZURICH|Zurich|Sion|Sion|Sion;Le pilote Geiger a sauvé une Autrichienne blessée au Breithorn de Zermatt ZURICH, 14. — La qarde aérienne suisse de sauvetage à Zurich communique : M. Hermann Geiger, pilote de la G. A. S. S. à Sion, a sauvé le 13 avril, après avoir atterri avec son « Super Piper » sur le plateau Rosa, au Breithorn de Zermatt, une Autrichienne grièvement blessée. La victime a été conduite en 40 minutes à l'hôpital de Sion. +, Les délégués des communes du Valais central et les représentants du commerce, de l'industrie et des services de transports, réunis à Sion, ont décidé de soutenir le projet d'une liaison entre le Valais et le canton de Berne, par la construction d'une artère avec tunnel routier au Sanetsch. +. Le col du Simplon sera ouvert à la circulation des automobiles à partir de mercredi 14 avril à midi. ;OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1956-05-12-a-i0011;;fr;SIX ALPINISTES surpris par le brouillard ont passé la nuit enfouis sou[...];110;CH;EXP;EXP-1956-05-12-a;1;1;0.0;1956;True;1956-05-12T00:00:00Z;;;SIX ALPINISTES surpris par le brouillard ont passé la nuit enfouis sous la neige Sur le glacier du Breithorn BREUIL, 11 (A. N. S. A.). — Six jeunes Italiens ont passé une nuit d'horreur sur le glacier du Breithorn. Alors qu'ils avaient quitté le plateau Rosa et atteint leur but d'excursion, ils furent surpris par un épais brouillard. II ne leur resta plus qu'à s'enfouir dans la neige. Entre temps, quelques guides étalent partis à leur recherche. Une première tentative échoua à cause d'une tempête de neige. Ce n'est que vers le matin que les six alpinistes furent retrouvés sous la neige. Aucun n'avait été gravement atteint par le froid. ;OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1957-04-01-a-i0010;;fr;Deux alpinistes allemands meurent de froid;263;CH;EXP;EXP-1957-04-01-a;1;1;0.0;1957;True;1957-04-01T00:00:00Z;Friedrich Pogel|Mme Ruth Schleuning|troisième skieur, Fritz Posel;Munich|Cottbus|Orne;"Deux alpinistes allemands meurent de froid Tragédie au Breithorn ZERMATT, 31. Vendredi après-midi, six touristes municois, deux femmes et quatre hommes, partirent de Zermatt par temps incertain pour faire l'ascension du Breithorn. Dans l'après-midi, ils furent enveloppés d'un épais brouillard et durent, par un froid de 18 degrés sous zéro et par un vent glacial, passer la nuit sur le plateau Rosa. Une des deux femmes atteignit samedi matin le col de Saint-Théodule et demanda l'aide des douaniers, sur quoi lea gardes-frontières italiens ct suisses partirent aussitôt au secours des touristes en détresse. Un peu plus tard, deux touristes du groupe atteignirent, complètement épuisés, le col de Saint-Théodule, tandis que les deux derniers excursionnistes et la deuxième femme se trouvaient toujours, samedi matin, sur le plateau Rosa. Deux morts L'équipe de secours, partie pour le lieu du bivouac, a trouvé un homme et une femme morts gelés et un deuxième homme gravement atteint. Quant à la première skieuse, elle a été conduite à la clinique de Cervinia, avec un début de gelure aux mains et aux pieds. L'identité des skieurs Le skieur allemand mort de froid sur le glacier du Breithorn est Friedrich Pogel, né en 1923, de Munich. La deuxième victime est Mme Ruth Schleuning, née Girbig, née en 1910, doctoresse, domiciliée à Cottbus ; son corps a été retrouvé à mi-chemin sur la piste qui, du plateau Rosa, mène au Breithorn. Dans le trou creusé dans la glace où a eu lieu le tragique bivouac, un troisième skieur, Fritz Posel _, a été retrouvé vivant. (Lire la suite en Orne page) ";OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1957-04-01-a-i0175;;fr;Breithorn;164;CH;EXP;EXP-1957-04-01-a;9;1;0.0;1957;False;1957-04-01T00:00:00Z;Sepp Sedemayer|Hermann Jung|Dorette Pockl|victime M. Hermann Jung|Mlle Dorette Pockl|M. Fritz Posel|M. Sepp Sedemayer;Ratisbonne|Sion|Ratisbonne|Allemagne|Sion;Breithorn (SUITE DE LA PREMIÈRE PAGE) Les autres survivants sont Sepp Sedemayer, Autrichien, professeur de ski à Fussen, Hermann Jung et Dorette Pockl, de Ratisbonne. Cette dernière, âgée de 20 ans, a été la première à rejoindre samedi matin à l'aube le plateau Rosa et à donner l'alarme. Soignée dans une clinique de Cervinia, elle est repartie avec les trois autres lurvivants. Des meilleures nouvelles d'une victime M. Hermann Jung, 54 ans, l'une dea victimes de la tragédie du Breithorn, se trouve actuellement à l'hôpital de Sion, où son état est jugé satisfaisant. On ne sera vraisemblablement pas contraint de procéder à l'amputation des membres gelés. Les trois autres survivants, Mlle Dorette Pockl, de Ratisbonne, M. Fritz Posel et le professeur de ski M. Sepp Sedemayer, de Fussen (Autriche) ont quitté Zermatt dimanche matin à 8 heures 20 par le train en direction de l'Allemagne. Quant aux deux personnes victimes de la tragédie, elles ont été transportées à la morgue de l'hôpital de Sion. ;OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1958-03-04-a-i0313;;fr;TRAVERS Conférence d'un commandant des gardes-frontières;313;CH;EXP;EXP-1958-03-04-a;12;1;0.0;1958;False;1958-03-04T00:00:00Z;TRAVERS Conférence|major Mathieu|M. Mathieu;Grèce|Suisse|Neuchâtel|Fribourg;"TRAVERS Conférence d'un commandant des gardes-frontières (c) Sous les auspices de la Jeune Eglise, les écoliers, en matinée, les jeunes gens et adultes, en soirée, ont eu le privilège de s'initier au service des gardes-frontières. Le pasteur Roulet présenta le major Mathieu, Cdt de l'arrdt 5 des gardesfrontières. H rappela la mémoire de M. Jaquier, décédé récemment à Travers et qui fut adjudant de ce corps d'élite. La douane, ce mal nécessaire, comme le relève avec humour le présentateur, existait déjà dans l'ancienne Grèce. En Suisse, c'est la loi fédérale de 1925 qui régit les douanes aotuelles. En 1925, la Confédération centralise l'instruction des futurs gardes, qui dure un an, dont 7 mois à la frontière. Les douanes rapportent eaœviron 770 millions par an à la caisse fédérale. Parmi les six arrondissements suisses de douane, celui qui nous occupe comprend le Valais, Vaud, Neuchâtel et Fribourg pour le recrutement. Le conférencier nous intéresse en parlant des effectifsde la mission du douanier ,, de son avancement. Comme l'avait fort bien dit M. Roulet, 11 faut aimer son métier. La personnalité de l'épouse du garde-frontière joue aussi un rôle considérable car celui-ci vit souvent dans des lieux isolés, loin des villes et des villages. Trois films, dont l'un sonore, sont présentés ; deux ont été tournés par le conférencier lui-même. Parmi les nombreuses vues projetées, citons les évolutions d'hélicoptères, du pilote Geiger, notamment, à Testa Gregia, au plateau Rosa dl Cervina (3500 m.), l'évolution d'autos-chenilles remorquant des skieurs, l'aide précieuse que rendent les chiens aux gardes-frontières et leur dressage (bergers allemands ou belges). Nous suivons un futur garde dans sa formation théorique jusqu'à son apprentissage dans les postes les plus reculés, etc. M. Mathieu répondit ensuite aux nombreuses questions de l'assistance : adultes et enfants. Il fut applaudi et vivement remercié. Nous regrettons seulement qu'un plus nombreux public n'ait pas profité d'une si intéressante conférence. ";OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1964-09-05-a-i0513;;fr;Deux frères et un guide se tuent uu Mont-Rose;406;CH;EXP;EXP-1964-09-05-a;27;1;0.0;1964;False;1964-09-05T00:00:00Z;guide italien Gian Carlo Fosson|Julio Cicogna;Milan|Milan|FRANCE;"Deux frères et un guide se tuent uu Mont-Rose Sa fiancée est gsrsèvesnent blessée De notre correspondant du Valais La liste des victimes de l'Alpe continue à s'allonger d'une manière inquiétante. Hier, trois alpinistes payaient de leur vie une escalade dans le massif du Mont-Rose. Les trois hommes avaient quitté le versant italien des Alpes valaisannes pour se _rendre avec le téléférique de Breuil jusqu'à la frontière. Ils s'attaquèrent ensuite à l'une des pointes du Mont-Rose, la Roecia Nera, un 4000 tout particulièrement fréquenté par les spécialistes transalpins. La cordée conduite par le guide italien Gian Carlo Fosson dévissa, faisant une chute de plus de 500 mètres dans un couloir de glace. Les trois hommes furent tués sur le coup et leurs corps atrocement mutilés. Les débris humains arrivèrent près du glacier Noir où la colonne de secours se rendit dès que le drame fut connu. Les guides italiens cependant, devant les difficultés que présentait ce sauvetage décidèrent d'en appeler à Geiger. C'est ainsi que dans l'après-midi d'hier, le pilote sédunois accompagné d'un de ses collègues gagna le Mont-Rose en hélicoptère. Les deux hommes entreprirent dès lors une opération délicate pour « repêcher » les corps ou tout au moins ce qu'il en restait, car des membres avaient été dispersés, dans la neige-. L'hélicoptère ne pouvant se poser tant l'endroit était tourmenté, Geiger le maintint à quelques mètres du sol. Son collègue Saxer descendit près des corps à l'aide d'une échelle de corde. On tira de l'appareil un filet relié par cable et c'est de cette façon en stabilisant l'appareil sur les lieux du drame que le « sauvetage » s'effectua sous les yeux ébahis des alpinistes attardés dans la montagne. Les trois corps furent descendus par la voie des airs jusqu'au plateau Rosa et de là conduits jusqu'à Breuil, sur le versant italien, par téléférique. Des contradictions subsistaient hier soir encore au sujet de l'identité des deux alpinistes qui accompagnaient le guide -Fosson. On disait cpi'il s'agissait dtî s' "" 'deux- frères, ». Vigorelli, de Milan. Nous apprenions pour notre part que si effectivement l'un des clients était Jean. Vigorelli,'22 ans, célibataire, de Milan, la troisième victime serait Julio Cicogna, 21 ans, célibataire également. Il faudra peut-être attendre jourd'hui pour en savoir plus long. Les causes de l'accident sont difficiles à connaître. Les trois hommes sont partis dans le vide lors de la traversée de l'un des couloirs les plus dangereux du massif. Manuel FRANCE. ";OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1966-04-09-a-i0461;;fr;Une skieuse se tue;79;CH;EXP;EXP-1966-04-09-a;24;1;0.0;1966;False;1966-04-09T00:00:00Z;Mlle Françoise Bagot;AOSTE;Une skieuse se tue Sur le _varsant italien du Mont-Rose AOSTE (ATS-Reuter). — La police italienne a découvert vendredi le corps de Mlle Françoise Bagot, étudiante parisienne de 24 ans, qui avait eu un accident alors qu'elle skiait dans le massif du Mont-Rose. La malheureuse, qui était partie de Breuil, a fait une chute de 200 mètres dans une gorge, et est morte d'une fracture du crâne. Le plateau Rosa, au moment de sa chute, était couvert de brouillard. ;OpenPrivate;SNL;y;local-IIV_6APb-X0x8SwxS,local-IIV_6APb-6tZ2kWCO,local-YaqV7H-D-iTDpRyOa;
EXP-1966-06-22-a-i0201;;fr;Les Suisses s'entraîneront à Zermatt;134;CH;EXP;EXP-1966-06-22-a;11;1;0.0;1966;False;1966-06-22T00:00:00Z;Les Suisses|Stefan Kaelin|Ruth Adolf|Fernande Bochatay|Edith Hiltbrand|Heidi Obrecht|Thérèse Obrecht|Edmund Bruggmann|Willy Favre|Kurt Huggler|Joos Minsch|Hanspeter Rohr|Andréas Sprecher|Jakob Tischauser|Stefan Kaelin|Les Allemands;;Les Suisses s'entraîneront à Zermatt Avant leur départ pour Portillô Les quatorze skieuses et skieurs suisses retenus pour le championnat du inonde de Portillô, ainsi que le réserviste Stefan Kaelin, vont ciper à un dernier camp d'entrainement sur neige au-dessus de Zermatt, du 27 juin au 19 juillet. La sélection helvétique se compose de Ruth Adolf, Fernande Bochatay, Edith Hiltbrand, Heidi Obrecht, Thérèse Obrecht, deleine Vuilloud, Edmund Bruggmann, Willy Favre, Dumeng Giovanoli, Kurt Huggler, Joos Minsch, Hanspeter Rohr, Andréas Sprecher, Jakob Tischauser et Stefan Kaelin. Les conditions d'enneigement au-dessus de Zermatt sont actuellement excellentes et les installations de remontée mécanique du Théodul et du Plateau-Rosa fonctionnent. Les Allemands de 'Est se trouvent déjà à Zermatt depuis lundi et ils y séjourneront jusqu'au k juillet. Il s'agit de Riedel, Scherzer, Lutzendorf, Schumann, Doerfel et Korb. ;OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
EXP-1966-11-24-a-i0191;;fr;Les skieurs suisses commencent un peu trop tôt à sélectionner;524;CH;EXP;EXP-1966-11-24-a;11;1;0.0;1966;False;1966-11-24T00:00:00Z;Les Français|Les Suisses;France|France|Isère|Isère|Autriche|Italie|Isère|France;"Les skieurs suisses commencent un peu trop tôt à sélectionner _iMfatfffî'-"" i AVANT LA SEMAINE DE SAINT-MORITZ Pour le ski français, les sucres paraissent désormais plus Importants que l'attachement à une vaine sentimentalité — sentimentalité ou politique économique et hôtelière ? n fut un temps où les stages de l'équipe nationale avaient tous lieu en France. D'avoir de la neige en suffisance, Jl n'importe quelle période do l'année, cela faisait, aussi, partie de la grandeur do la France. En ce mois de novembre, l'enneigement n'est pas très bon, à Val-d'Isère : ce ne sont plus les neiges d'autan... Autrefois, on aurait fait bon cœur à mauvaise fortune et l'on se serait concentré sur le slalom, en attendant des conditions meilleures. CONTINUER Mais, maintenant que Portillo a (de nouveau) hissé les Français au sommet de la hiérarchie des spécialistes de la descente — 11 en a fallu pour arriver là — lis ont une réputation à défendre, une confirmation à fournir. Us savent que tous les vaincus de Portillo ont l'œil fixé sur eux et que, dès le Lauberhorn, leur comportement sera étudié à la loupe. A Portillo, Il sont pris un engagement ct cet engagement, 11 faut qu'il essaient de le tenir. Voilà pourquoi Ils ont abandonné d'Isère. Us ont accompli un premier stage à _Cervlnia : rien que de la descente. C'est à Plateau Rosa, au-dessus de Cervtnta que Roessncr avait coutume de préparer la plus belle équipe d'Autriche qui fut i Sailer, Pravda, Moltercr, _Spless, der. Koessner était formel sur co point pour un début d'entraînement, il n'y a rion de mieux que Plateau Rosa, De très longues descentes, pas trop abruptes, pas trop difficiles, qui permettent au skieur de maintenir longtemps une position de souplesse, sans prendre de risques. Cela lui donne résistance et confiance tout à la fols. Ayant levé leur camp d'Italie et n'ayant pas trouvé des conditions favorables-Val-d'Isère, les Français viennent de débarquer à Saint-Moritz oil le ski-club Alpina a déjà préparé les pistes de descente qui seront utilisées à partir de la semaine prochaine, pour la semaine Internationale d'entraînement. A Saint-Moritz, Suisses et Français font bon ménage. Les Français : la descente, encore. Les Suisses : le slalom, surtout. A la recherche du temps perdu. U leur faudra de la patience ct de la volonté. TROP TOT En principe, l'équipe de France A ne participera pas à la semaine Internationale : elle préfère la tranquillité de l'Isolement. Elle sera remplacée par la sélection des « espoirs ». Pour les skieurs suisses, 11 y aura, en cette tin de semaine, des épreuves cle sélection (slalom spécial et slalom géant) : les cadres de l'équipe nationale, plus une cinquantaine do jeunes skieurs. Evidemment, c'est une pratique qui peut se justifier. Cependant, nous noua demandons s'il sera vraiment possible de tabler sur des résultats d'épreuves organisées si tôt, au début de l'entraînement sur neige. U peut y avoir encore de telles différences de forme d'un skieur à l'autre que le jeu en paraît dangereux. Un contrôle _chronométrlque, d'accord, afin que chacun puisse se rendre compte dc sa situation. Mais, 11 ne faudrait pasi encore parler d'épreuves de sélection. Guy _CTJRDT ";OpenPrivate;SNL;y;local-YaqV7H-D-iTDpRyOa;
